review_id,platform,domain,lang,rating,label,review_text
R0204,facebook,ecommerce,en,4,POS,fast delivery. great job.
R0267,amazon,restaurant,en,3,NEU,could be better. fine.
R0153,facebook,ecommerce,en,1,NEG,poor packaging. please improve.
R0010,facebook,salon,hinglish,1,NEG,waste of money. bahut disappointed.
R0234,justdial,ecommerce,hinglish,5,POS,service mast thi. love it.
R0227,zomato,ecommerce,en,3,NEU,delivery was on time. okay overall.
R0197,amazon,restaurant,en,1,NEG,food was cold. not recommended.
R0110,amazon,ecommerce,hinglish,5,POS,delivery jaldi hui. great job.
R0006,facebook,salon,en,1,NEG,staff was unprofessional. needs improvement.
R0176,instagram,salon,en,3,NEU,could be quicker. alright.
R0238,google,restaurant,hinglish,3,NEU,kuch khaas nahi. theek hai.
R0058,justdial,restaurant,en,3,NEU,nothing special. manageable.
R0219,amazon,restaurant,hi,2,NEG,पैसे की बर्बादी। बहुत निराशा हुई।
R0046,zomato,salon,en,3,NEU,service was okay. alright.
R0183,google,restaurant,hinglish,3,NEU,ok ok. theek hai.
R0222,zomato,salon,en,3,NEU,decent experience. alright.
R0290,justdial,salon,en,5,POS,excellent facial. loved it.
R0212,amazon,ecommerce,en,5,POS,seller was responsive. loved it.
R0149,google,ecommerce,hinglish,2,NEG,hygiene nahi tha. dobara nahi.
R0166,zomato,restaurant,hinglish,2,NEG,bahut bura tha. please improve.
R0079,zomato,salon,hinglish,1,NEG,delivery bahut late. please improve.
R0114,justdial,salon,hinglish,3,NEU,better ho sakta hai. improve kar sakte ho.
R0250,instagram,salon,en,3,NEU,decent experience. fine.
R0251,instagram,restaurant,en,4,POS,amazing ambience. highly recommended.
R0105,justdial,ecommerce,hi,5,POS,बहुत बढ़िया। शानदार काम।
R0043,instagram,restaurant,hinglish,1,NEG,staff rude tha. bahut disappointed.
R0282,zomato,ecommerce,hi,2,NEG,पैसे की बर्बादी। बहुत निराशा हुई।
R0296,amazon,ecommerce,hinglish,3,NEU,average tha. overall ok.
R0158,justdial,salon,hi,5,POS,डिलीवरी जल्दी हुई। बहुत धन्यवाद।
R0239,zomato,ecommerce,en,3,NEU,no major issues. fine.
R0018,facebook,salon,hinglish,4,POS,delivery jaldi hui. love it.
R0165,amazon,restaurant,hinglish,4,POS,awesome taste. phir se aayenge.
R0034,instagram,ecommerce,en,5,POS,value for money. loved it.
R0025,justdial,restaurant,hi,3,NEU,कुछ खास नहीं। धन्यवाद।
R0216,amazon,salon,hinglish,5,POS,staff polite tha. recommended.
R0120,facebook,ecommerce,hinglish,1,NEG,hygiene nahi tha. dobara nahi.
R0008,zomato,salon,en,3,NEU,decent experience. manageable.
R0091,amazon,ecommerce,en,3,NEU,average quality. thanks.
R0047,facebook,restaurant,en,2,NEG,overpriced for quantity. needs improvement.
R0074,justdial,restaurant,en,2,NEG,found hair in food. needs improvement.
R0094,facebook,restaurant,en,5,POS,fresh ingredients. keep it up.
R0077,justdial,restaurant,en,3,NEU,nothing special. okay overall.
R0287,zomato,salon,en,3,NEU,staff was fine. okay overall.
R0061,justdial,salon,hi,1,NEG,स्टाफ बदतमीज़ था। बहुत निराशा हुई।
R0078,facebook,restaurant,en,5,POS,amazing ambience. loved it.
R0064,instagram,restaurant,en,1,NEG,staff was rude. not recommended.
R0235,amazon,ecommerce,hi,5,POS,खाना बहुत स्वादिष्ट था। बहुत धन्यवाद।
R0230,facebook,salon,hinglish,4,POS,service mast thi. recommended.
R0112,google,ecommerce,en,3,NEU,works as expected. alright.
R0232,justdial,salon,en,5,POS,clean and hygienic. highly recommended.
R0181,amazon,salon,en,3,NEU,staff was fine. alright.
R0145,amazon,ecommerce,hi,4,POS,बहुत अच्छा अनुभव रहा। फिर से आएंगे।
R0240,google,ecommerce,hinglish,2,NEG,bahut bura tha. dobara nahi.
R0076,amazon,ecommerce,hinglish,4,POS,value for money. love it.
R0298,google,ecommerce,en,3,NEU,delivery was on time. manageable.
R0279,justdial,salon,en,1,NEG,unhygienic tools. very disappointed.
R0098,google,salon,en,1,NEG,waited too long. needs improvement.
